"Trade Date,Order Type,Security,Cusip,Transaction Description,Quantity,Executed Price,Commission,Net Amount"
"1/4/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",1000,66.2,4.95,66204.95"
"1/4/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",1000,65.9562,4.95,65950.27"
"1/4/2019,Buy,GME,36467W109,""GAMESTOP CORP                 CLASS A"",500,14.6168,4.95,7313.35"
"1/4/2019,Buy,PYPL,70450Y103,""PAYPAL HOLDINGS INC           COM"",300,84.8,4.95,25444.95"
"1/4/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",1000,66.55,4.95,66554.95"
"1/4/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",1000,66.75,4.95,66744.06"
"1/4/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",1000,61.01,4.95,61014.95"
"1/4/2019,Sell,PYPL,70450Y103,""PAYPAL HOLDINGS INC           COM"",300,84.2704,4.95,25275.8"
"1/4/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",1000,61.2,4.95,61194.13"
"1/4/2019,Buy,PYPL,70450Y103,""PAYPAL HOLDINGS INC           COM"",300,85.06,4.95,25522.95"
"1/4/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",1000,61.2,4.95,61204.95"
"1/4/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",1000,61.0235,4.95,61017.63"
"1/4/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",1000,64.9,4.95,64904.95"
"1/4/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",1000,65.1,4.95,65094.08"
"1/4/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",74,65.076,0.0000,4815.62"
"1/4/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",926,65.1,4.95,60287.55"
"1/4/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",1000,65.3,4.95,65294.08"
"1/4/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",1000,65.15,4.95,65154.95"
"1/4/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",1000,64.8569,4.95,64850.98"
"1/4/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",1000,64.7,4.95,64704.95"
"1/4/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",1000,64.85,4.95,64844.08"
"1/4/2019,Sell,GME,36467W109,""GAMESTOP CORP                 CLASS A"",500,14.3822,4.95,7185.99"
"1/4/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",2000,64.85,4.95,129704.95"
"1/4/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",2000,64.95,4.95,129893.12"
"1/4/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",2000,64.8,4.95,129604.95"
"1/4/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",2000,64.9,4.95,129793.12"
"1/4/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",2000,64.85,4.95,129704.95"
"1/4/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",2000,64.7362,4.95,129465.52"
"1/4/2019,Sell,PYPL,70450Y103,""PAYPAL HOLDINGS INC           COM"",300,85.55,4.95,25659.67"
"1/4/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",2000,64.75,4.95,129504.95"
"1/4/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",2000,64.564,4.95,129121.13"
"1/4/2019,Sell To Open,MSFT JAN 18 '19 $102 PUT,,""10     MSFT JAN 18 '19        $102 PUT(MSFT)                MICROSOFT CORP COM            SHORT"",10,2.71,7.47,2702.33"
"1/4/2019,Buy Open,MSFT JAN 18 '19 $101 PUT,,""10     MSFT JAN 18 '19        $101 PUT(MSFT)                MICROSOFT CORP COM"",10,2.28,7.47,2287.61"
"1/4/2019,Buy,BABA,01609W102,""***ALIBABA GROUP HOLDING LTD  SPONSORED ADR"",500,140.4,4.95,70204.95"
"1/4/2019,Sell,BABA,01609W102,""***ALIBABA GROUP HOLDING LTD  SPONSORED ADR"",500,140.6,4.95,70294.07"
